date,avg_temp,avg_humidity
2024-11-13,8.9,87
2024-11-14,10.6,85
2024-11-15,9.4,88
2024-11-16,10.2,85
2024-11-17,7.5,83
2024-11-18,5.1,80
2024-11-19,3.7,92
2024-11-20,2.1,87
2024-11-21,1.6,81
2024-11-22,2.3,85
2024-11-23,3.3,88
2024-11-24,14.2,67
2024-11-25,12.9,76
2024-11-26,7.8,83
2024-11-27,6.9,92
2024-11-28,7.4,79
2024-11-29,3.7,88
2024-11-30,3.6,88
2024-12-01,6.0,82
2024-12-02,9.2,93
2024-12-03,6.3,78
2024-12-04,4.6,86
2024-12-05,6.5,94
2024-12-06,8.7,80
2024-12-07,7.5,85
2024-12-08,6.3,93
2024-12-09,6.0,81
2024-12-10,5.0,82
2024-12-11,3.6,86
2024-12-12,4.4,91
2024-12-13,2.4,88
2024-12-14,3.8,90
2024-12-15,8.5,87
2024-12-16,10.2,86
2024-12-17,8.7,90
2024-12-18,10.3,84
2024-12-19,8.5,86
2024-12-20,6.4,76
2024-12-21,8.1,91
2024-12-22,5.6,79
2024-12-23,6.6,76
2024-12-24,6.0,91
2024-12-25,9.5,96
2024-12-26,8.0,96
2024-12-27,3.6,97
2024-12-28,2.2,97
2024-12-29,5.6,92
2024-12-30,7.5,88
2024-12-31,6.0,87
2025-01-01,8.6,84
2025-01-02,4.2,82
2025-01-03,2.7,79
2025-01-04,1.4,93
2025-01-05,4.1,95
2025-01-06,9.5,83
2025-01-07,4.0,78
2025-01-08,3.2,83
2025-01-09,2.2,87
2025-01-10,2.8,84
2025-01-11,1.4,85
2025-01-12,2.2,83
2025-01-13,0.7,90
2025-01-14,3.6,90
2025-01-15,6.8,97
2025-01-16,4.9,96
2025-01-17,2.3,93
2025-01-18,-0.7,96
2025-01-19,-1.0,97
2025-01-20,0.0,95
2025-01-21,0.8,93
2025-01-22,0.8,94
2025-01-23,4.7,88
2025-01-24,7.5,84
2025-01-25,5.5,89
2025-01-26,3.2,88
2025-01-27,8.4,80
2025-01-28,7.5,81
2025-01-29,6.9,89
2025-01-30,5.3,88
2025-01-31,3.4,89
2025-02-01,1.1,93
2025-02-02,-0.4,91
2025-02-03,0.5,92
2025-02-04,2.7,92
2025-02-05,5.5,90
2025-02-06,3.5,92
2025-02-07,2.6,81
2025-02-08,3.7,78
2025-02-09,3.4,84
2025-02-10,2.1,83
2025-02-11,2.2,95
2025-02-12,3.4,93
2025-02-13,1.1,85
2025-02-14,0.6,84
2025-02-15,1.1,81
2025-02-16,0.5,79
2025-02-17,-1.1,72
2025-02-18,-1.2,63
2025-02-19,0.6,56
2025-02-20,5.6,86
2025-02-21,12.9,80
2025-02-22,10.3,90
2025-02-23,9.3,84
2025-02-24,10.3,80
2025-02-25,7.8,91
2025-02-26,7.0,81
2025-02-27,5.6,87
2025-02-28,5.2,86
2025-03-01,3.5,89
2025-03-02,2.3,90
2025-03-03,1.6,92
2025-03-04,2.8,89
2025-03-05,6.1,78
2025-03-06,7.8,79
2025-03-07,10.2,73
2025-03-08,10.6,65
2025-03-09,9.7,71
2025-03-10,8.1,80
2025-03-11,5.8,81
2025-03-12,4.6,83
2025-03-13,3.2,86
2025-03-14,2.6,74
2025-03-15,3.0,71
2025-03-16,3.0,82
2025-03-17,4.6,75
2025-03-18,3.9,59
2025-03-19,6.7,66
2025-03-20,10.1,71
2025-03-21,12.6,67
2025-03-22,14.1,62
2025-03-23,12.0,80
2025-03-24,9.3,88
2025-03-25,7.9,85
2025-03-26,8.2,84
2025-03-27,7.5,85
2025-03-28,7.9,88
2025-03-29,7.4,81
2025-03-30,9.5,77
2025-03-31,7.9,78
2025-04-01,7.9,76
2025-04-02,10.3,67
2025-04-03,13.2,63
2025-04-04,12.5,69
2025-04-05,9.1,72
2025-04-06,7.4,57
2025-04-07,7.2,71
2025-04-08,7.7,75
2025-04-09,7.1,82
2025-04-10,9.1,80
2025-04-11,9.7,85
2025-04-12,13.6,72
2025-04-13,13.4,75
2025-04-14,12.2,73
2025-04-15,13.8,77
2025-04-16,10.9,81
2025-04-17,9.9,83
2025-04-18,9.9,80
2025-04-19,9.0,81
2025-04-20,9.4,82
2025-04-21,10.4,93
2025-04-22,11.4,86
2025-04-23,11.4,85
2025-04-24,10.5,93
2025-04-25,10.3,80
2025-04-26,11.4,81
2025-04-27,13.6,68
2025-04-28,14.0,72
2025-04-29,14.1,77
2025-04-30,16.4,76
2025-05-01,18.4,66
2025-05-02,17.3,69
2025-05-03,12.1,74
2025-05-04,10.0,71
2025-05-05,8.9,67
2025-05-06,9.3,76
2025-05-07,10.5,74
2025-05-08,12.1,70
2025-05-09,13.1,62
2025-05-10,14.5,61
2025-05-11,17.6,55
2025-05-12,18.6,49
2025-05-13,16.6,49
2025-05-14,14.4,67
2025-05-15,13.4,62
2025-05-16,11.7,72
2025-05-17,12.8,76
2025-05-18,14.0,70
2025-05-19,14.2,71
2025-05-20,14.7,67
2025-05-21,12.8,73
2025-05-22,11.0,63
2025-05-23,10.2,68
2025-05-24,11.9,84
2025-05-25,15.1,84
2025-05-26,14.3,70
2025-05-27,14.1,83
2025-05-28,14.1,86
2025-05-29,13.8,90
2025-05-30,16.1,86
2025-05-31,18.1,79
2025-06-01,16.5,77
2025-06-02,14.4,78
2025-06-03,15.3,69
2025-06-04,15.5,74
2025-06-05,14.7,77
2025-06-06,15.0,79
2025-06-07,13.3,84
2025-06-08,12.6,81
2025-06-09,14.4,76
2025-06-10,14.3,81
2025-06-11,14.5,75
2025-06-12,18.5,70
2025-06-13,23.5,67
2025-06-14,22.1,71
2025-06-15,17.1,76
2025-06-16,17.1,80
2025-06-17,17.6,77
2025-06-18,18.5,76
2025-06-19,17.7,73
2025-06-20,18.6,64
2025-06-21,22.2,55
2025-06-22,21.4,64
2025-06-23,17.7,68
2025-06-24,17.5,75
2025-06-25,19.8,77
2025-06-26,19.4,84
2025-06-27,18.1,73
2025-06-28,20.6,81
2025-06-29,21.1,75
2025-06-30,21.5,69
2025-07-01,26.9,51
2025-07-02,22.4,75
2025-07-03,17.3,69
2025-07-04,18.3,60
2025-07-05,18.6,70
2025-07-06,17.8,87
2025-07-07,15.5,81
2025-07-08,14.8,80
2025-07-09,17.4,71
2025-07-10,18.6,76
2025-07-11,19.1,78
2025-07-12,19.3,79
2025-07-13,19.6,80
2025-07-14,19.3,80
2025-07-15,18.8,66
2025-07-16,16.9,80
2025-07-17,17.6,77
2025-07-18,19.5,78
2025-07-19,22.4,72
2025-07-20,20.0,87
2025-07-21,18.8,82
2025-07-22,18.0,86
2025-07-23,18.7,85
2025-07-24,18.8,83
2025-07-25,19.1,83
2025-07-26,18.7,85
2025-07-27,17.8,79
2025-07-28,17.0,79
2025-07-29,17.2,69
2025-07-30,16.9,75
2025-07-31,17.7,82
2025-08-01,16.3,86
2025-08-02,16.2,83
2025-08-03,17.9,74
2025-08-04,19.0,86
2025-08-05,17.0,70
2025-08-06,17.0,69
2025-08-07,17.9,71
2025-08-08,19.3,77
2025-08-09,17.2,81
2025-08-10,18.5,72
2025-08-11,19.5,70
2025-08-12,22.3,67
2025-08-13,23.3,72
2025-08-14,22.5,78
2025-08-15,20.8,82
2025-08-16,18.7,73
2025-08-17,16.5,81
2025-08-18,18.4,79
2025-08-19,18.8,78
2025-08-20,18.0,69
2025-08-21,16.3,72
2025-08-22,15.2,74
2025-08-23,15.1,72
2025-08-24,14.7,76
2025-08-25,16.5,73
2025-08-26,18.8,66
2025-08-27,19.3,76
2025-08-28,17.6,80
2025-08-29,16.7,75
2025-08-30,17.4,78
2025-08-31,19.0,77
2025-09-01,18.3,74
2025-09-02,17.2,72
2025-09-03,18.3,81
2025-09-04,17.8,76
2025-09-05,16.5,76
2025-09-06,16.3,77
2025-09-07,19.5,64
2025-09-08,19.0,77
2025-09-09,13.6,94
2025-09-10,14.0,81
2025-09-11,15.5,79
2025-09-12,13.9,79
2025-09-13,13.9,81
2025-09-14,14.2,79
2025-09-15,16.3,76
2025-09-16,14.4,80
2025-09-17,14.7,85
2025-09-18,18.2,90
2025-09-19,19.2,81
2025-09-20,19.3,79
2025-09-21,15.1,74
2025-09-22,11.8,74
2025-09-23,11.8,81
2025-09-24,11.9,74
2025-09-25,12.0,70
2025-09-26,12.2,73
2025-09-27,12.0,88
2025-09-28,12.7,84
2025-09-29,12.5,88
2025-09-30,12.6,88
2025-10-01,11.1,83
2025-10-02,11.4,79
2025-10-03,11.2,79
2025-10-04,13.0,82
2025-10-05,12.4,71
2025-10-06,14.2,81
2025-10-07,15.4,89
2025-10-08,14.5,87
2025-10-09,13.0,82
2025-10-10,14.6,86
2025-10-11,14.4,84
2025-10-12,14.3,86
2025-10-13,14.2,87
2025-10-14,13.6,88
2025-10-15,13.1,90
2025-10-16,12.4,88
2025-10-17,11.9,84
2025-10-18,10.0,81
2025-10-19,9.7,81
2025-10-20,13.8,88
2025-10-21,13.3,87
2025-10-22,12.5,86
2025-10-23,11.8,87
2025-10-24,9.8,79
2025-10-25,9.5,84
2025-10-26,8.9,76
2025-10-27,9.6,81
2025-10-28,11.5,76
2025-10-29,11.5,85
2025-10-30,10.2,81
2025-10-31,10.3,84
2025-11-01,12.0,88
2025-11-02,10.3,88
2025-11-03,10.2,85
2025-11-04,13.7,78
2025-11-05,13.5,73
2025-11-06,11.0,77
2025-11-07,10.8,93
2025-11-08,9.5,95
2025-11-09,10.6,91
2025-11-10,8.5,91
2025-11-11,10.2,90
2025-11-12,12.2,77
2025-11-13,12.9,83
2025-11-14,10.4,97
2025-11-15,7.7,95
2025-11-16,6.4,89
2025-11-17,5.8,74
2025-11-18,4.7,82
2025-11-19,4.3,94
2025-11-20,1.8,91
2025-11-21,1.9,89
2025-11-22,1.6,84
2025-11-23,1.7,83
2025-11-24,3.1,94
2025-11-25,3.0,91
2025-11-26,2.5,97
2025-11-27,6.1,92
2025-11-28,9.8,92
2025-11-29,9.1,92
2025-11-30,7.3,80
2025-12-01,5.4,84
2025-12-02,7.3,76
2025-12-03,6.5,92
2025-12-04,5.8,91
2025-12-05,4.1,96
2025-12-06,7.4,89
2025-12-07,9.8,93
2025-12-08,11.8,87
2025-12-09,12.1,86
2025-12-10,11.8,84
2025-12-11,8.4,91
2025-12-12,8.1,93
2025-12-13,8.1,94
2025-12-14,6.1,96
2025-12-15,6.7,90
2025-12-16,7.9,91
2025-12-17,7.9,95
2025-12-18,9.1,80
2025-12-19,10.0,85
2025-12-20,5.1,95
2025-12-21,7.9,94
2025-12-22,5.8,87
2025-12-23,4.5,82
2025-12-24,1.4,78
2025-12-25,-1.8,71
2025-12-26,-2.0,78
2025-12-27,1.4,89
2025-12-28,1.7,97
2025-12-29,3.2,91
2025-12-30,3.8,75
2025-12-31,3.6,83
